N;FSharpMap_add;FSharpX_add;HAMT_add;HashMapOkasaki_add;ImTools_add;ImmutableDictionary_add
10;2883.79841621476;5593.36074829102;1476.67439460754;1011.78808784485;1524.0881015345;7028.89922941574
20;7315.51724243164;10651.7087860107;3886.62879943848;2598.81607437134;4559.67105133365;16395.6906405362
30;12651.6428833008;15891.7307826451;6274.42144012451;4265.39636188083;7366.10773826132;26806.6173977322
40;17948.9783462213;22729.5294494629;9309.41841125488;6088.96808865704;9055.68165588379;38636.4601212319
50;24513.4775695801;27399.4866371155;12243.8394565775;8181.97604092685;13399.6721954346;50104.1232676988
100;58528.8445941472;62523.0521770439;31698.8087663747;19262.8771723533;30803.354636203;115347.024403448
200;133412.98982862;148561.992785395;73076.1174982244;44727.1007080078;71522.2437744141;258249.110243056
300;218828.033949908;248861.090396149;122775.792593908;71182.7788342928;113146.936669288;403187.112827494
400;307492.888754987;359623.89668166;171731.580810547;102837.866577148;177984.944091797;575024.746488321
500;411694.110308637;488868.015625;231496.112281156;137711.184082031;237092.302246094;715270.662268814
1000;1006865.14756944;1266495.60763889;528516.526594066;404470.399576823;654270.018325617;1685590.80078125
2000;2431531.94140625;2480541.92578125;1250772.94124681;963992.74609375;1704098.45052083;3981685.08602528
3000;3966471.71875;4092719.11057692;2067373.85779272;1561462.52103365;2456859.30524554;6631855.22017045
4000;5469565.13573232;5990161.76682692;3049096.4771412;2156157.43519176;3380970.453125;8694301.328125
5000;7365992.8229944;7924365.08789062;4112531.71875;2772531.25976562;4731209.58533654;12046620.2799479
10000;15144124.6547965;19161523.5294118;8669163.71875;6354908.79956317;10545882.7508224;22244030.375
20000;32642683.3575581;46818038.292011;20659509.6982759;14874144.875;23850050.5208333;49462150.6666666
30000;49187873.030303;77387447.7142857;33887705.1333333;24478955.5681818;36879268.9230769;75785164.0692641
